skills_count,count,share
0,198,17.398945518453427
1,143,12.56590509666081
2,146,12.82952548330404
3,122,10.720562390158172
4,124,10.896309314586995
5,119,10.456942003514937
6,76,6.6783831282952555
7,60,5.272407732864675
8,57,5.008787346221441
9,40,3.5149384885764503
10,15,1.3181019332161688
11,19,1.6695957820738139
12,5,0.4393673110720563
13,4,0.35149384885764495
14,4,0.35149384885764495
15,2,0.17574692442882248
16,4,0.35149384885764495
