skill_category,share,count
Programming,62.038664323374334,706
Visualisation & BI Tools,56.239015817223205,640
Spreadsheets,36.37961335676626,414
Statistics,30.667838312829527,349
Data Engineering,21.0896309314587,240
Databases,18.014059753954307,205
AI/ML Tools,0.5272407732864675,6
